Oct 10, 2018 5:05:05 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Oct 10, 2018 5:05:05 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Oct 10, 2018 5:05:05 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /Users/robert/xipki/xipki-pki-4.0.1-SNAPSHOT/lock
Oct 10, 2018 5:05:05 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Oct 10, 2018 5:05:05 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2018-10-10T17:05:07,537 | INFO  | features-3-thread-1 | CommandExtension                  146 | 32 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.config.core/4.2.1
2018-10-10T17:05:07,545 | WARN  | features-3-thread-1 | MetaCompleter                      59 | 24 - org.apache.karaf.config.core - 4.2.1 | config:meta disabled because the org.osgi.service.metatype package is not wired (enable debug logging for full stack trace).
2018-10-10T17:05:07,546 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.jaas.modules/4.2.1
2018-10-10T17:05:07,555 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.jaas.command/4.2.1
2018-10-10T17:05:07,571 | INFO  | features-3-thread-1 | CommandExtension                  146 | 32 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.jaas.command/4.2.1
2018-10-10T17:05:07,572 | INFO  | features-3-thread-1 | CommandExtension                  146 | 32 - org.apache.karaf.shell.core - 4.2.1 | Updating commands for bundle org.apache.karaf.jaas.command/4.2.1
2018-10-10T17:05:07,573 | INFO  | features-3-thread-1 | CommandExtension                  146 | 32 - org.apache.karaf.shell.core - 4.2.1 | Updating commands for bundle org.apache.karaf.jaas.command/4.2.1
2018-10-10T17:05:07,574 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.shell.ssh/4.2.1
2018-10-10T17:05:07,682 | INFO  | features-3-thread-1 | CommandExtension                  108 | 32 - org.apache.karaf.shell.core - 4.2.1 | Command registration delayed for bundle org.apache.karaf.shell.ssh/4.2.1. Missing dependencies: [org.apache.sshd.server.SshServer]
2018-10-10T17:05:07,686 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   io.netty.resolver/4.1.29.Final
2018-10-10T17:05:07,687 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   io.netty.transport/4.1.29.Final
